iter	Passed	Remaining
747	43159	14540
748	43220	14483
749	43280	14426
750	43337	14369
751	43393	14310
752	43460	14255
753	43511	14196
754	43564	14136
755	43619	14078
756	43674	14019
757	43729	13961
758	43782	13902
759	43844	13845
760	43904	13788
761	43954	13728
762	44011	13670
763	44072	13613
764	44120	13553
765	44181	13496
766	44238	13438
767	44290	13379
768	44343	13320
769	44406	13264
770	44468	13207
771	44523	13149
772	44580	13091
773	44636	13033
774	44689	12974
775	44745	12916
776	44806	12859
777	44879	12806
778	44941	12749
779	44997	12691
780	45061	12635
781	45115	12577
782	45165	12517
783	45227	12460
784	45285	12403
785	45343	12345
786	45400	12287
787	45461	12230
788	45526	12174
789	45586	12117
790	45639	12059
791	45703	12002
792	45757	11944
793	45816	11886
794	45877	11830
795	45940	11773
796	45990	11713
797	46040	11654
798	46106	11598
799	46166	11541
800	46224	11483
801	46283	11426
802	46337	11367
803	46396	11310
804	46455	11253
805	46509	11194
806	46566	11136
807	46641	11083
808	46714	11028
809	46764	10969
810	46834	10914
811	46894	10857
812	46951	10799
813	47019	10743
814	47087	10688
815	47145	10630
816	47204	10573
817	47272	10517
818	47339	10462
819	47401	10405
820	47460	10347
821	47527	10291
822	47590	10235
823	47646	10176
824	47703	10118
825	47758	10060
826	47816	10002
827	47871	9944
828	47935	9887
829	48001	9831
830	48056	9773
831	48113	9715
832	48176	9658
833	48235	9600
834	48305	9545
835	48378	9490
836	48442	9433
837	48505	9377
838	48574	9321
839	48642	9265
840	48718	9210
841	48804	9158
842	48877	9102
843	48953	9048
844	49024	8992
845	49091	8936
846	49168	8881
847	49238	8825
848	49301	8768
849	49379	8714
850	49452	8658
851	49540	8605
852	49605	8548
853	49687	8494
854	49767	8440
855	49835	8383
856	49906	8327
857	49972	8270
858	50055	8216
859	50127	8160
860	50208	8105
861	50283	8050
862	50346	7992
863	50418	7936
864	50499	7881
865	50576	7825
866	50643	7768
867	50724	7713
868	50800	7658
869	50864	7600
870	50929	7542
871	51002	7486
872	51076	7430
873	51143	7373
874	51210	7315
875	51273	7257
876	51344	7201
877	51413	7144
878	51486	7087
879	51559	7030
880	51622	6972
881	51685	6914
882	51752	6857
883	51821	6800
884	51883	6741
885	51942	6683
886	52010	6625
887	52074	6567
888	52134	6509
889	52203	6452
890	52269	6394
891	52334	6336
892	52385	6276
893	52454	6219
894	52516	6161
895	52583	6103
896	52640	6044
897	52700	5986
898	52757	5927
899	52820	5868
900	52880	5810
901	52935	5751
902	52994	5692
903	53053	5633
904	53117	5575
905	53180	5517
906	53241	5459
907	53306	5401
908	53367	5342
909	53430	5284
910	53497	5226
911	53559	5168
912	53618	5109
913	53679	5050
914	53741	4992
915	53800	4933
916	53855	4874
917	53906	4815
918	53963	4756
919	54027	4698
920	54087	4639
921	54147	4580
922	54207	4522
923	54268	4463
924	54324	4404
925	54389	4346
926	54449	4287
927	54515	4229
928	54574	4170
929	54643	4112
930	54711	4054
931	54768	3995
932	54823	3936
933	54875	3877
934	54935	3819
935	54994	3760
936	55054	3701
937	55114	3642
938	55166	3583
939	55221	3524
940	55281	3466
941	55333	3406
942	55387	3347
943	55445	3289
944	55507	3230
945	55571	3172
946	55628	3113
947	55687	3054
948	55746	2995
949	55808	2937
950	55867	2878
951	55925	2819
952	55975	2760
953	56036	2701
954	56099	2643
955	56159	2584
956	56217	2525
957	56273	2467
958	56326	2408
959	56383	2349
960	56442	2290
961	56504	2231
962	56564	2173
963	56617	2114
964	56669	2055
965	56729	1996
966	56782	1937
967	56841	1879
968	56899	1820
969	56951	1761
970	57016	1702
971	57076	1644
972	57137	1585
973	57212	1527
974	57277	1468
975	57340	1410
976	57404	1351
977	57466	1292
978	57534	1234
979	57606	1175
980	57663	1116
981	57726	1058
982	57784	999
983	57846	940
984	57912	881
985	57968	823
986	58023	764
987	58083	705
988	58139	646
989	58201	587
990	58258	529
991	58313	470
992	58369	411
993	58427	352
994	58491	293
995	58548	235
996	58605	176
997	58663	117
998	58714	58
999	58775	0
